119.5121	22.5509	-0.1580	 0.017
119.5121	22.6856	-0.5390	 0.016
119.5121	22.8203	 0.8040	 0.017
119.5121	22.9551	-1.6270	 0.017
119.5121	23.0898	-0.0680	 0.017
119.5121	23.2246	 0.1880	 0.017
119.5121	23.3593	-2.0740	 0.017
119.6585	22.5509	 0.6990	 0.017
119.6585	22.6856	 2.2550	 0.017
119.6585	22.8203	-0.7940	 0.017
119.6585	22.9551	-0.0330	 0.017
119.6585	23.0898	-0.6240	 0.017
119.6585	23.2246	 0.3100	 0.017
119.6585	23.3593	-0.4050	 0.016
119.8048	22.5509	-0.5300	 0.017
119.8048	22.6856	 1.1520	 0.017
119.8048	22.8203	-1.0210	 0.018
119.8048	22.9551	-0.9030	 0.017
119.8048	23.0898	-0.3950	 0.017
119.8048	23.2246	-0.1840	 0.017
119.8048	23.3593	 1.3540	 0.017
119.9512	22.5509	 1.8760	 0.016
119.9512	22.6856	-1.2320	 0.017
119.9512	22.8203	-0.8880	 0.017
119.9512	22.9551	 0.2940	 0.017
119.9512	23.0898	-0.7260	 0.017
119.9512	23.2246	 1.8130	 0.017
119.9512	23.3593	 1.4590	 0.016
120.0976	22.5509	 0.4180	 0.016
120.0976	22.6856	 0.3300	 0.016
120.0976	22.8203	-0.5360	 0.016
120.0976	22.9551	 0.5350	 0.017
120.0976	23.0898	 0.8000	 0.017
120.0976	23.2246	-0.2590	 0.018
120.0976	23.3593	 1.5210	 0.017
120.2440	22.5509	 0.5620	 0.016
120.2440	22.6856	-0.0850	 0.017
120.2440	22.8203	 0.2370	 0.016
120.2440	22.9551	 0.8710	 0.017
120.2440	23.0898	-0.8470	 0.017
120.2440	23.2246	-0.5840	 0.017
120.2440	23.3593	 1.8690	 0.016
120.3903	22.5509	-0.3340	 0.018
120.3903	22.6856	 1.0400	 0.017
120.3903	22.8203	 0.8410	 0.017
120.3903	22.9551	 1.4590	 0.017
120.3903	23.0898	 0.0540	 0.017
120.3903	23.2246	-3.0880	 0.017
120.3903	23.3593	-1.4870	 0.017
