 RESIDUALS IN EARTH-FIXED SYSTEM

 FILE 1: ${P}/b12309\ORB\brd17133.sp3                                           
 FILE 2: ${P}/b12309\ORB\igs17133.sp3                                           



 ---------------------------------------------------------------------
 | NUM |      NAME        | FLG |       RESIDUALS IN METERS      |   |
 |  18 | 56238.020833333  | P P |   -17.5122 -610.5679  452.7718 |   |
 |  19 | 56238.020833333  | P P |   -25.0744 -251.4261  616.0827 |   |
 |  20 | 56238.020833333  | P P |   171.0529  279.9878  237.5257 |   |
 |  21 | 56238.020833333  | P P |     7.6600 -636.1902  251.7369 |   |
 |  22 | 56238.020833333  | P P |  -150.7236 -402.3084  394.5593 |   |
 |  23 | 56238.020833333  | P P |   295.6926  270.3291  196.3292 |   |
 |  24 | 56238.020833333  | P P | **********  839.7190********** |   |
 |  25 | 56238.020833333  | P P |   249.5985 -216.3515  -64.1125 |   |
 |  26 | 56238.020833333  | P P |   431.2062 -441.9015  713.1084 |   |
 |  27 | 56238.020833333  | P P |    54.2598   62.4804   85.6976 |   |
 |  28 | 56238.020833333  | P P |   406.9470 -337.0767  791.0915 |   |
 |  29 | 56238.020833333  | P P |   100.6435 -295.9803  -84.5004 |   |
 |  30 | 56238.020833333  | P P |   -74.2915   64.8708   63.6451 |   |
 |  31 | 56238.020833333  | P P |    68.9489    6.1257  -72.7341 |   |
 |  32 | 56238.020833333  | P P |    -8.0986  170.9198  219.2246 |   |
 |   1 | 56238.031250000  | P P |   154.9367   85.1867  631.4083 |   |
 |   2 | 56238.031250000  | P P |   499.6573 -102.1688  134.5473 |   |
 |   3 | 56238.031250000  | P P |  -153.8915 -246.4996  407.0652 |   |
 |   4 | 56238.031250000  | P P |   532.1965  131.1142  284.7901 |   |
 |   5 | 56238.031250000  | P P |   554.7636 -384.8857  374.2480 |   |
 |   6 | 56238.031250000  | P P |  -189.8053 -286.7346  308.8028 |   |
 |   8 | 56238.031250000  | P P |   339.7075 -122.6803  788.1393 |   |
 |   9 | 56238.031250000  | P P |   233.3097 -668.3429  385.1072 |   |
 |  10 | 56238.031250000  | P P |   582.9500   -0.0183  285.3173 |   |
 |  11 | 56238.031250000  | P P |   114.0155  -33.0439  671.9411 |   |
 |  12 | 56238.031250000  | P P |   433.1019 -364.7888  132.8765 |   |
 |  13 | 56238.031250000  | P P |   445.6163  244.8987  351.2118 |   |
 |  14 | 56238.031250000  | P P |  -152.1103 -400.9424   93.0392 |   |
 |  15 | 56238.031250000  | P P |   288.7268 -610.0501  612.2166 |   |
 |  16 | 56238.031250000  | P P |  -109.2593   60.3450  216.1904 |   |
 |  17 | 56238.031250000  | P P |   574.9162  -48.6341  656.6689 |   |
 |  18 | 56238.031250000  | P P |    11.7645 -631.4509  456.6896 |   |
 |  19 | 56238.031250000  | P P |   -55.5677 -262.1226  581.6568 |   |
 |  20 | 56238.031250000  | P P |   142.2630  272.2532  259.0582 |   |
 |  21 | 56238.031250000  | P P |    19.4219 -627.8423  211.9689 |   |
 |  22 | 56238.031250000  | P P |  -132.9066 -438.7680  415.8217 |   |
 |  23 | 56238.031250000  | P P |   263.1893  263.5312  163.2830 |   |
 |  24 | 56238.031250000  | P P | ********** 3721.4653********** |   |
 |  25 | 56238.031250000  | P P |   274.3900 -248.2673  -45.4945 |   |
