 RESIDUALS IN EARTH-FIXED SYSTEM

 FILE 1: ${P}/b12309\ORB\brd17134.sp3                                           
 FILE 2: ${P}/b12309\ORB\igs17134.sp3                                           



 ---------------------------------------------------------------------
 | NUM |      NAME        | FLG |       RESIDUALS IN METERS      |   |
 ---------------------------------------------------------------------
 |     |                  |     |                                |   |
 |   1 | 56239.000000000  | P P |  -179.6479 1079.4725  120.7736 |   |
 |   2 | 56239.000000000  | P P |  -133.0726 -221.6554  104.2675 |   |
 |   3 | 56239.000000000  | P P |  -449.2532 1062.6576  867.9697 |   |
 |   4 | 56239.000000000  | P P |   -37.6875   48.2945 -211.4742 |   |
 |   6 | 56239.000000000  | P P |  -568.9567  940.3535  962.6157 |   |
 |   8 | 56239.000000000  | P P |   186.6166 1048.9915  454.1154 |   |
 |   9 | 56239.000000000  | P P |  -224.0751   -2.8349  788.1568 |   |
 |  10 | 56239.000000000  | P P |   174.9908   99.1731 -122.0262 |   |
 |  11 | 56239.000000000  | P P |  -128.4339 1180.5633  272.0785 |   |
 |  12 | 56239.000000000  | P P |  -270.5743 -284.2985  221.8368 |   |
 |  13 | 56239.000000000  | P P |    71.5804  645.5911 -236.0378 |   |
 |  14 | 56239.000000000  | P P |  -835.3404  194.3739  818.2592 |   |
 |  15 | 56239.000000000  | P P |   -82.4317  512.8424  921.9051 |   |
 |  16 | 56239.000000000  | P P |  -658.6767  936.4717  629.8438 |   |
 |  17 | 56239.000000000  | P P |   265.6796  506.0584 -172.8160 |   |
 |  18 | 56239.000000000  | P P |  -445.3270  674.7642 1109.0685 |   |
 |  19 | 56239.000000000  | P P |  -226.9254 1186.8147  722.8561 |   |
 |  20 | 56239.000000000  | P P |  -390.2783  548.2264  -89.5869 |   |
 |  21 | 56239.000000000  | P P |  -460.9995  381.3661 1088.1799 |   |
 |  22 | 56239.000000000  | P P |  -650.1643  816.4330  993.2655 |   |
 |  24 | 56239.000000000  | P P |  -386.8566 -358.6008  260.4287 |   |
 |  25 | 56239.000000000  | P P |  -572.0475 -220.5900  306.3507 |   |
 |  26 | 56239.000000000  | P P |   193.5935  669.3197  615.1187 |   |
 |  27 | 56239.000000000  | P P |  -692.8656  505.6697  585.9266 |   |
 |  28 | 56239.000000000  | P P |   315.8262  787.6297  377.6740 |   |
 |  29 | 56239.000000000  | P P |  -695.3517 -128.9889  657.2313 |   |
 |  30 | 56239.000000000  | P P |  -781.0425  613.2656  499.3348 |   |
 |  31 | 56239.000000000  | P P |  -703.8441  161.6526  228.4368 |   |
 |  32 | 56239.000000000  | P P |  -602.0485  648.4137  187.9809 |   |
 |   1 | 56239.010416667  | P P |  -168.6965 1125.3880  178.2125 |   |
 |   2 | 56239.010416667  | P P |  -128.5787 -201.1091   48.0858 |   |
 |   3 | 56239.010416667  | P P |  -504.6037 1023.3660  885.5657 |   |
 |   4 | 56239.010416667  | P P |   -26.9745  107.5444 -236.5910 |   |
 |   6 | 56239.010416667  | P P |  -618.5203  890.5235  966.7409 |   |
 |   8 | 56239.010416667  | P P |   180.4105 1077.0158  406.8710 |   |
 |   9 | 56239.010416667  | P P |  -198.9667   66.2538  821.9483 |   |
