 RESIDUALS IN EARTH-FIXED SYSTEM

 FILE 1: ${P}/b12309\ORB\brd17132.sp3                                           
 FILE 2: ${P}/b12309\ORB\igs17132.sp3                                           



 ---------------------------------------------------------------------
 | NUM |      NAME        | FLG |       RESIDUALS IN METERS      |   |
 ---------------------------------------------------------------------
 |     |                  |     |                                |   |
 |   1 | 56237.000000000  | P P |    -4.7090    2.1757    1.5063 |   |
 |   2 | 56237.000000000  | P P |     3.4094    0.8148   -2.9948 |   |
 |   3 | 56237.000000000  | P P |    -2.8035   -2.8728    3.4657 |   |
 |   4 | 56237.000000000  | P P |     2.4272    1.5653   -4.0164 |   |
 |   5 | 56237.000000000  | P P |     3.7507    0.2428    0.8850 |   |
 |   6 | 56237.000000000  | P P |    -2.5563   -2.8265    3.6357 |   |
 |   7 | 56237.000000000  | P P |    -2.0967    1.7669    2.0346 |   |
 |   8 | 56237.000000000  | P P |     0.2320    0.9011    4.4827 |   |
 |   9 | 56237.000000000  | P P |     4.2051   -3.3644    0.3934 |   |
 |  10 | 56237.000000000  | P P |     3.1202    2.9832   -2.5076 |   |
 |  11 | 56237.000000000  | P P |    -3.3269    2.9615    1.6107 |   |
 |  12 | 56237.000000000  | P P |     2.9859   -0.8211   -3.5623 |   |
 |  13 | 56237.000000000  | P P |    -1.9886    4.7107   -1.8848 |   |
 |  14 | 56237.000000000  | P P |    -1.8380   -5.9387   -2.9378 |   |
 |  15 | 56237.000000000  | P P |     1.3001   -3.7172    2.1499 |   |
 |  16 | 56237.000000000  | P P |    -5.7368   -2.0465    0.9282 |   |
 |  17 | 56237.000000000  | P P |     0.2749    3.7027   -0.3740 |   |
 |  18 | 56237.000000000  | P P |    -2.8351   -5.5514    2.5323 |   |
 |  19 | 56237.000000000  | P P |    -2.8717   -1.2600    2.8324 |   |
 |  20 | 56237.000000000  | P P |    -3.8324    1.6481   -4.0470 |   |
 |  21 | 56237.000000000  | P P |     0.4270   -5.7179    2.5087 |   |
 |  22 | 56237.000000000  | P P |    -3.3546   -4.5988   -0.4032 |   |
 |  23 | 56237.000000000  | P P |    -2.2229    2.8134   -1.9271 |   |
 |  25 | 56237.000000000  | P P |    -1.0606   -3.0740   -5.4171 |   |
 |  26 | 56237.000000000  | P P |     2.7086    0.4683    3.1711 |   |
 |  27 | 56237.000000000  | P P |   131.8491   38.8102   54.0547 |   |
 |  29 | 56237.000000000  | P P |     0.6976   -4.2392   -3.2212 |   |
 |  30 | 56237.000000000  | P P |    -3.9849   -4.8322   -3.7194 |   |
 |  31 | 56237.000000000  | P P |    -2.2793   -1.8971   -3.6792 |   |
 |  32 | 56237.000000000  | P P |    -4.6665    0.0063   -2.6577 |   |
 |   1 | 56237.010416667  | P P |    -4.7844    1.7854    2.2777 |   |
 |   2 | 56237.010416667  | P P |     3.1049    1.3768   -3.2533 |   |
 |   3 | 56237.010416667  | P P |    -2.9766   -3.5864    3.0226 |   |
 |   4 | 56237.010416667  | P P |     1.9568    2.1106   -3.9460 |   |
 |   5 | 56237.010416667  | P P |     3.8664    0.5672    0.3051 |   |
 |   6 | 56237.010416667  | P P |    -2.7152   -3.5017    3.1545 |   |
