 RESIDUALS IN EARTH-FIXED SYSTEM

 FILE 1: ${P}/b12309\ORB\brd17131.sp3                                           
 FILE 2: ${P}/b12309\ORB\igs17131.sp3                                           



 ---------------------------------------------------------------------
 | NUM |      NAME        | FLG |       RESIDUALS IN METERS      |   |
 ---------------------------------------------------------------------
 |     |                  |     |                                |   |
 |   1 | 56236.000000000  | P P |    52.8939  351.8443  146.4687 |   |
 |   2 | 56236.000000000  | P P |  -735.4530-1191.6319-2541.4814 |   |
 |   3 | 56236.000000000  | P P |    21.8877 -767.8141  179.6173 |   |
 |   4 | 56236.000000000  | P P |  -534.7489 -430.9472-2013.1704 |   |
 |   6 | 56236.000000000  | P P |  -306.2520 -845.5189    4.4008 |   |
 |   7 | 56236.000000000  | P P |   942.8834 -517.4691  113.9207 |   |
 |   8 | 56236.000000000  | P P |  1218.7983-1323.4483 -328.3048 |   |
 |   9 | 56236.000000000  | P P |  -517.3422-2057.1159-2287.9044 |   |
 |  10 | 56236.000000000  | P P |   212.9852-1024.9121-1999.5537 |   |
 |  11 | 56236.000000000  | P P |   382.0572   42.4239  296.2867 |   |
 |  12 | 56236.000000000  | P P | -1174.8860-1016.5419-2535.1438 |   |
 |  13 | 56236.000000000  | P P |   334.4748   12.1045 -703.5886 |   |
 |  14 | 56236.000000000  | P P | -1797.1582 -634.1027-1371.7882 |   |
 |  15 | 56236.000000000  | P P |   302.9176-2168.1120-1320.2019 |   |
 |  16 | 56236.000000000  | P P |  -737.4260  -24.9380  175.4226 |   |
 |  17 | 56236.000000000  | P P |   501.8577 -547.1138-1301.4704 |   |
 |  18 | 56236.000000000  | P P |  -318.8160-1566.0985 -679.7589 |   |
 |  19 | 56236.000000000  | P P |   536.7372 -748.9420  291.1785 |   |
 |  20 | 56236.000000000  | P P |  -899.4175  594.3015 -750.4688 |   |
 |  21 | 56236.000000000  | P P |  -443.0705-1850.4139-1208.5260 |   |
 |  22 | 56236.000000000  | P P |  -801.3781 -742.6960 -240.6742 |   |
 |  23 | 56236.000000000  | P P |  -498.3655  439.7951 -813.6051 |   |
 |  24 | 56236.000000000  | P P |   174.6575-2263.7241-1962.9765 |   |
 |  25 | 56236.000000000  | P P | -1766.6347 -531.5781-2144.6596 |   |
 |  26 | 56236.000000000  | P P |   961.7071-1987.3455-1101.4539 |   |
 |  27 | 56236.000000000  | P P | -1473.0363  164.3357 -534.3857 |   |
 |  29 | 56236.000000000  | P P | -1704.0813-1054.9347-2001.6636 |   |
 |  30 | 56236.000000000  | P P | -1389.1088  220.1108 -308.9218 |   |
 |  32 | 56236.000000000  | P P | -1208.5392  599.4210 -461.9956 |   |
 |   1 | 56236.010416667  | P P |   154.6070  264.5841  226.8864 |   |
 |   2 | 56236.010416667  | P P |  -757.8477-1058.6367-2496.3305 |   |
 |   3 | 56236.010416667  | P P |  -127.1874 -742.4674  139.7370 |   |
 |   4 | 56236.010416667  | P P |  -493.7015 -329.7696-1897.1961 |   |
 |   6 | 56236.010416667  | P P |  -459.8719 -813.0413  -58.1559 |   |
 |   7 | 56236.010416667  | P P |   865.3795 -378.6531  124.5370 |   |
