 RESIDUALS IN EARTH-FIXED SYSTEM

 FILE 1: ${P}/b12309\ORB\brd17136.sp3                                           
 FILE 2: ${P}/b12309\ORB\igs17136.sp3                                           



 ---------------------------------------------------------------------
 | NUM |      NAME        | FLG |       RESIDUALS IN METERS      |   |
 ---------------------------------------------------------------------
 |     |                  |     |                                |   |
 |   2 | 56241.000000000  | P P |     3.4328   -2.8041   -0.8461 |   |
 |   3 | 56241.000000000  | P P |    -3.9150    0.2241    2.8758 |   |
 |   4 | 56241.000000000  | P P |     4.3535    0.7708   -2.8619 |   |
 |   6 | 56241.000000000  | P P |    -4.1463    0.7264    3.6973 |   |
 |   7 | 56241.000000000  | P P |     0.2106    3.2791    1.9002 |   |
 |   8 | 56241.000000000  | P P |     0.3617    3.0925    4.1316 |   |
 |   9 | 56241.000000000  | P P |     1.8913   -3.6222    3.1703 |   |
 |  10 | 56241.000000000  | P P |     7.7895   -2.2687    0.0399 |   |
 |  11 | 56241.000000000  | P P |    -0.7703    4.9787    2.4225 |   |
 |  12 | 56241.000000000  | P P |     2.2707   -2.3837   -1.6483 |   |
 |  13 | 56241.000000000  | P P |     2.5153    4.2198   -2.3709 |   |
 |  14 | 56241.000000000  | P P |    -4.3746   -3.3528   -0.8106 |   |
 |  15 | 56241.000000000  | P P |     0.1026   -3.1519    3.6478 |   |
 |  16 | 56241.000000000  | P P |    -5.3334    2.0738   -0.1229 |   |
 |  17 | 56241.000000000  | P P |     4.1724    1.3894    0.0937 |   |
 |  18 | 56241.000000000  | P P |    -5.2331   -2.7653    4.1683 |   |
 |  19 | 56241.000000000  | P P |    -2.7793    0.6526    2.7460 |   |
 |  20 | 56241.000000000  | P P |    -0.7123    3.5799   -4.1394 |   |
 |  21 | 56241.000000000  | P P |    -0.6386   -5.0613    2.3387 |   |
 |  22 | 56241.000000000  | P P |    -4.2058   -0.7727    1.3553 |   |
 |  24 | 56241.000000000  | P P |    13.1545   34.6359   39.0247 |   |
 |  25 | 56241.000000000  | P P |     0.0249   -2.5075   -3.9556 |   |
 |  26 | 56241.000000000  | P P |     2.9679   -0.3864    4.0501 |   |
 |  27 | 56241.000000000  | P P |   124.0147   44.1220   69.4297 |   |
 |  28 | 56241.000000000  | P P |     3.5170    0.9408    4.6801 |   |
 |  29 | 56241.000000000  | P P |    -2.7534   -3.9953   -0.3430 |   |
 |  30 | 56241.000000000  | P P |    -4.5532    0.7382   -1.1193 |   |
 |  31 | 56241.000000000  | P P |    -2.6947    0.7760   -2.7399 |   |
 |  32 | 56241.000000000  | P P |    -2.3169    3.3195   -2.6855 |   |
 |   2 | 56241.010416667  | P P |     3.4227   -2.2071   -1.2800 |   |
 |   3 | 56241.010416667  | P P |    -4.2328   -0.1724    2.3999 |   |
 |   4 | 56241.010416667  | P P |     4.2268    1.4197   -2.8128 |   |
 |   6 | 56241.010416667  | P P |    -4.4278    0.2861    3.2096 |   |
 |   7 | 56241.010416667  | P P |     0.0412    3.3956    1.3351 |   |
 |   8 | 56241.010416667  | P P |     0.0929    3.4683    3.7686 |   |
 |   9 | 56241.010416667  | P P |     1.8562   -3.1633    3.7526 |   |
