455685.3469998838	22.9983746936	120.2171617809	100.9082355967	0.3478107319	9.0000000000	0.7876342039	1.1747215789	0.6101151109	0.7518348112
455686.3469998838	22.9983765536	120.2171610234	100.7445654514	0.3478102404	9.0000000000	0.7877444882	1.1747859242	0.6101615104	0.7519299513
455687.3469998837	22.9983745825	120.2171572511	98.9892551120	0.3478097450	9.0000000000	0.7878548659	1.1748504014	0.6102079564	0.7520252282
455688.3469998838	22.9983678194	120.2171579465	98.6195996728	0.3478092530	9.0000000000	0.7879652653	1.1749148703	0.6102544007	0.7521204706
455689.3469998838	22.9983641607	120.2171570875	97.9566091807	0.3478087603	9.0000000000	0.7880757230	1.1749794058	0.6103008697	0.7522157766
455690.3469998837	22.9983676724	120.2171582882	98.8134456960	0.3478082714	9.0000000000	0.7881861930	1.1750439202	0.6103473334	0.7523110429
455691.3469998837	22.9983578184	120.2171579832	97.8438596646	0.3478077780	9.0000000000	0.7882967671	1.1751085826	0.6103938486	0.7524064576
455692.3469998838	22.9983632774	120.2171595367	99.0157617846	0.3478072905	9.0000000000	0.7884073340	1.1751731903	0.6104403474	0.7525017986
455693.3469998837	22.9983678105	120.2171610577	100.0972695980	0.3478068028	9.0000000000	0.7885179564	1.1752378574	0.6104868681	0.7525971908
455694.3469998837	22.9983694780	120.2171612673	100.3607545878	0.3478063128	9.0000000000	0.7886286530	1.1753026193	0.6105334227	0.7526926756
455695.3469998838	22.9983732780	120.2171602996	100.3558868005	0.3478058220	9.0000000000	0.7887394079	1.1753674474	0.6105800017	0.7527882226
455696.3469998838	22.9983710694	120.2171606804	100.3611515369	0.3478053311	9.0000000000	0.7888502186	1.1754323328	0.6106266015	0.7528838139
455697.3469998837	22.9983674283	120.2171588185	99.2855426113	0.3478048373	9.0000000000	0.7889611092	1.1754973248	0.6106732393	0.7529795134
455698.3469998838	22.9983658838	120.2171585074	99.0221262555	0.3478043457	9.0000000000	0.7890720319	1.1755623320	0.6107198840	0.7530752129
455699.3469998838	22.9983752493	120.2171570829	99.2987418245	0.3478038556	9.0000000000	0.7891829885	1.1756273625	0.6107665389	0.7531709299
455700.3469999301	22.9983136982	120.2168080116	73.1305731774	0.3478033636	9.0000000000	0.7892949064	1.1756931691	0.6108136393	0.7532679467
455701.3469998837	22.9983642118	120.2171582339	98.7137225628	0.3478028721	9.0000000000	0.7894051040	1.1757576576	0.6108599317	0.7533625620
455702.3469998838	22.9983652412	120.2171605856	99.7667014274	0.3478023834	9.0000000000	0.7895162050	1.1758228199	0.6109066358	0.7534583713
455703.3469998838	22.9983714710	120.2171576300	99.1368094781	0.3478018909	9.0000000000	0.7896273973	1.1758881136	0.6109533871	0.7535543250
455704.3469998837	22.9983771386	120.2171592710	100.3281840014	0.3478014028	9.0000000000	0.7897385984	1.1759533761	0.6110001290	0.7536502198
455705.3469998838	22.9983775574	120.2171593726	100.4197890788	0.3478009122	9.0000000000	0.7898498821	1.1760187482	0.6110469098	0.7537462231
455706.3469998837	22.9983729232	120.2171579736	99.4840464856	0.3478004185	9.0000000000	0.7899612467	1.1760842260	0.6110937284	0.7538423309
455707.3469998837	22.9983631842	120.2171550992	97.4842166080	0.3477999221	9.0000000000	0.7900726931	1.1761498115	0.6111405854	0.7539385454
455708.3469998838	22.9983678115	120.2171563933	98.4954169908	0.3477994337	9.0000000000	0.7901841113	1.1762153017	0.6111874117	0.7540346355
455709.3469998837	22.9983705404	120.2171572171	99.0955874269	0.3477989447	9.0000000000	0.7902955936	1.1762808672	0.6112342653	0.7541307953
455710.3469998838	22.9983694435	120.2171569134	98.8992665683	0.3477984539	9.0000000000	0.7904071504	1.1763465270	0.6112811527	0.7542270466
455711.3469998838	22.9983709575	120.2171574724	99.2407186359	0.3477979642	9.0000000000	0.7905187457	1.1764122150	0.6113280514	0.7543233139
455712.3469998837	22.9983777018	120.2171594827	100.6865388605	0.3477974771	9.0000000000	0.7906303644	1.1764779024	0.6113749517	0.7544195647
455713.3469998837	22.9983781552	120.2171596616	100.8193739597	0.3477969865	9.0000000000	0.7907420717	1.1765437101	0.6114218947	0.7545159364
455714.3469998837	22.9983824786	120.2171609106	101.7857490067	0.3477964979	9.0000000000	0.7908538097	1.1766095307	0.6114688439	0.7546123069
455715.3469998838	22.9983816105	120.2171607494	101.6455664719	0.3477960065	9.0000000000	0.7909656306	1.1766754615	0.6115158322	0.7547087869
455716.3469998837	22.9983801665	120.2171603970	101.3795304725	0.3477955146	9.0000000000	0.7910775080	1.1767414532	0.6115628431	0.7548053204
455717.3469998838	22.9983773843	120.2171596259	100.8238321034	0.3477950222	9.0000000000	0.7911894464	1.1768075141	0.6116098793	0.7549019168
455718.3469998838	22.9983731337	120.2171584006	99.9517960730	0.3477945287	9.0000000000	0.7913014466	1.1768736456	0.6116569413	0.7549985776
455719.3469998838	22.9983596106	120.2171544273	97.1045214902	0.3477940304	9.0000000000	0.7914135533	1.1769399304	0.6117040574	0.7550953972
455720.3469998837	22.9983664349	120.2171563793	98.5387804607	0.3477935434	9.0000000000	0.7915255975	1.1770060561	0.6117511209	0.7551920197
455721.3469998837	22.9983630631	120.2171553740	97.8257434253	0.3477930509	9.0000000000	0.7916377529	1.1770723438	0.6117982415	0.7552888108
455722.3469998838	22.9983635394	120.2171555109	97.9323539122	0.3477925604	9.0000000000	0.7917499395	1.1771386454	0.6118453685	0.7553856017
455723.3469998837	22.9983643569	120.2171557678	98.0938804683	0.3477920698	9.0000000000	0.7918621777	1.1772049991	0.6118925149	0.7554824360
