432000 25 20591469.242 108208961.233 0 45.7
432000 12 22052845.367 115888375.726 0 43.8
432000 23 20320639 106785610.594 0 44.3
432000 18 24521059.266 128858883.746 0 30.4
432000 31 24541678.828 128967310.643 0 32.3
432000 24 23867676.484 125425373.309 0 32.8
432000 10 20751766.016 109051095.15 0 48.2
432000 32 22785717.648 119739785.503 0 42.1
432000 28 22469956.75 118080333.117 0 40.5
432030 25 20582825.344 108163537.197 0 45.5
432030 12 22057763.586 115914221.926 0 42.6
432030 23 20328705.023 106827998.668 0 44.8
432030 18 24538215.047 128949035.15 0 29.7
432030 31 24525331.734 128881401.867 0 32.4
432030 24 23885487.984 125518972.93 0 32.9
432030 10 20742042.625 108999998.564 0 47
432030 32 22776571.047 119691718.112 0 40.3
432030 28 22460146.133 118028777.147 0 41.1
432060 25 20574284.664 108118656.189 0 45.5
432060 12 22062791.969 115940646.566 0 42.6
432060 23 20336875.969 106870936.289 0 44.1
432060 18 24555344.844 129039050.945 0 29.5
432060 31 24509024.883 128795712.7 0 33.9
432060 24 23903291.063 125612529.509 0 32.6
432060 10 20732409.344 108949375.237 0 46.6
432060 32 22767416.938 119643613.631 0 39.4
432060 28 22450395.25 117977537.74 0 41.6
432090 25 20565847.727 108074320.487 0 45.1
432090 12 22067930.648 115967649.393 0 41.8
432090 23 20345151.25 106914422.775 0 43.8
432090 18 24572447.969 129128928.904 0 31.6
432090 31 24492761.289 128710244.434 0 33.7
432090 24 23921086.648 125706041.461 0 32.8
432090 10 20722866.492 108899227.725 0 48.9
432090 32 22758255.695 119595472.577 0 40.8
432090 28 22440704.922 117926614.848 0 40.7
432120 25 20557514.859 108030531.482 0 46.3
432120 12 22073179.07 115995229.045 0 41.6
432120 23 20353530.617 106958456.516 0 43.5
432120 18 24589524.57 129218665.713 0 33.1
432120 31 24476539.227 128624997.227 0 31.5
432120 24 23938872.508 125799506.868 0 32
432120 10 20713414.742 108849557.769 0 48
432120 32 22749087.742 119547294.591 0 42.4
432120 28 22431074.336 117876007.54 0 41.4
432150 25 20549286.773 107987291.21 0 45.6
432150 12 22078537.133 116023385.475 0 41.3
432150 23 20362013.844 107003036.537 0 44.3
432150 18 24606574.188 129308258.833 0 33.3
432150 31 24460359.07 128539971.346 0 31.9
432150 24 23956649.578 125892924.187 0 32
432150 10 20704054.219 108800367.688 0 48.5
432150 32 22739912.813 119499080.078 0 43.1
432150 28 22421505.109 117825715.549 0 41.6
432180 25 20541163.664 107944601.916 0 45.7
432180 12 22084004.461 116052117.405 0 41.7
432180 23 20370601.156 107048162.098 0 43.9
432180 18 24623596.039 129397705.955 0 32.4
