119.500	21.500	0.121
119.500	21.525	0.106
119.500	21.550	0.095
119.500	21.575	0.089
119.500	21.600	0.088
119.500	21.625	0.091
119.500	21.650	0.099
119.500	21.675	0.110
119.500	21.700	0.126
119.500	21.725	0.144
119.500	21.750	0.163
119.500	21.775	0.183
119.500	21.800	0.203
119.500	21.825	0.223
119.500	21.850	0.244
119.500	21.875	0.263
119.500	21.900	0.283
119.500	21.925	0.302
119.500	21.950	0.320
119.500	21.975	0.338
119.500	22.000	0.355
119.500	22.025	0.372
119.500	22.050	0.391
119.500	22.075	0.411
119.500	22.100	0.432
119.500	22.125	0.453
119.500	22.150	0.471
119.500	22.175	0.482
119.500	22.200	0.483
119.500	22.225	0.469
119.500	22.250	0.440
119.500	22.275	0.398
119.500	22.300	0.341
119.500	22.325	0.272
119.500	22.350	0.199
119.500	22.375	0.125
119.500	22.400	0.056
119.500	22.425	-0.004
119.500	22.450	-0.050
119.500	22.475	-0.085
119.500	22.500	-0.112
119.500	22.525	-0.134
119.500	22.550	-0.154
119.500	22.575	-0.169
119.500	22.600	-0.179
119.500	22.625	-0.182
119.500	22.650	-0.175
119.500	22.675	-0.159
119.500	22.700	-0.140
119.500	22.725	-0.119
119.500	22.750	-0.101
119.500	22.775	-0.086
119.500	22.800	-0.077
119.500	22.825	-0.072
119.500	22.850	-0.072
119.500	22.875	-0.077
119.500	22.900	-0.085
119.500	22.925	-0.100
119.500	22.950	-0.121
119.500	22.975	-0.150
119.500	23.000	-0.187
119.500	23.025	-0.233
119.500	23.050	-0.286
119.500	23.075	-0.347
119.500	23.100	-0.415
119.500	23.125	-0.487
119.500	23.150	-0.562
119.500	23.175	-0.637
119.500	23.200	-0.707
119.500	23.225	-0.770
119.500	23.250	-0.822
119.500	23.275	-0.863
119.500	23.300	-0.894
119.500	23.325	-0.917
119.500	23.350	-0.934
119.500	23.375	-0.947
119.500	23.400	-0.956
119.500	23.425	-0.964
119.500	23.450	-0.972
119.500	23.475	-0.980
119.500	23.500	-0.991
119.500	23.525	-1.001
119.500	23.550	-1.009
119.500	23.575	-1.014
119.500	23.600	-1.014
119.500	23.625	-1.007
