 RESIDUALS IN EARTH-FIXED SYSTEM

 FILE 1: ${P}/b10121\ORB\brd15823.sp3                                           
 FILE 2: ${P}/b10121\ORB\igs15823.sp3                                           



 ---------------------------------------------------------------------
 | NUM |      NAME        | FLG |       RESIDUALS IN METERS      |   |
 |  20 | 55321.020833333  | P P |    -0.2137   -4.2642   -4.3308 |   |
 |  22 | 55321.020833333  | P P |     4.3906    0.8992   -0.8369 |   |
 |  23 | 55321.020833333  | P P |    -0.4660   -4.0974    1.3924 |   |
 |  24 | 55321.020833333  | P P |     3.8229    2.3992    3.3517 |   |
 |  26 | 55321.020833333  | P P |     0.1018    5.2002   -0.0424 |   |
 |  27 | 55321.020833333  | P P |    -3.1849    4.0271   -2.7168 |   |
 |  28 | 55321.020833333  | P P |    -5.0287   -1.9303   -1.5539 |   |
 |  29 | 55321.020833333  | P P |     1.2974    3.8719    0.8255 |   |
 |  30 | 55321.020833333  | P P |     2.5902    2.9287   -3.9781 |   |
 |  31 | 55321.020833333  | P P |     3.7145   -0.6919   -3.3945 |   |
 |  32 | 55321.020833333  | P P |     1.1910   -3.4435   -3.9788 |   |
 |   1 | 55321.031250000  | P P |  -133.3218  -58.0418  -28.0625 |   |
 |   2 | 55321.031250000  | P P |    -3.4061    1.9106   -1.7183 |   |
 |   3 | 55321.031250000  | P P |     2.7466   -2.4967    3.3362 |   |
 |   4 | 55321.031250000  | P P |    -4.0472    1.6362   -2.5965 |   |
 |   5 | 55321.031250000  | P P |    -2.2233    1.7824    2.7395 |   |
 |   6 | 55321.031250000  | P P |     3.5836   -0.5817    4.2074 |   |
 |   7 | 55321.031250000  | P P |    -0.3617   -2.7375    3.4792 |   |
 |   8 | 55321.031250000  | P P |    -4.3919    1.5752    3.0441 |   |
 |   9 | 55321.031250000  | P P |    -0.8115    4.4187   -4.5096 |   |
 |  10 | 55321.031250000  | P P |    -4.8815   -0.1061    1.2981 |   |
 |  11 | 55321.031250000  | P P |     1.7714   -5.4315   -2.4610 |   |
 |  12 | 55321.031250000  | P P |     0.9652    2.4705   -3.3629 |   |
 |  13 | 55321.031250000  | P P |    -1.7753   -5.4782    1.7470 |   |
 |  14 | 55321.031250000  | P P |     4.0523    1.2445   -4.6357 |   |
 |  15 | 55321.031250000  | P P |    -0.7277    3.3044    2.2000 |   |
 |  17 | 55321.031250000  | P P |    -2.0858   -1.5231   -3.3091 |   |
 |  18 | 55321.031250000  | P P |     4.1555    3.8677    1.8380 |   |
 |  19 | 55321.031250000  | P P |     2.0304   -3.3345    1.8312 |   |
 |  20 | 55321.031250000  | P P |     0.5310   -4.0407   -4.6567 |   |
 |  22 | 55321.031250000  | P P |     4.3736    1.1848   -0.0428 |   |
 |  23 | 55321.031250000  | P P |    -0.2613   -4.2484    0.6313 |   |
 |  24 | 55321.031250000  | P P |     3.3576    2.8661    3.6518 |   |
 |  26 | 55321.031250000  | P P |    -0.3970    5.2283    1.1200 |   |
 |  27 | 55321.031250000  | P P |    -3.2172    4.2283   -2.2697 |   |
 |  28 | 55321.031250000  | P P |    -5.1658   -1.9298   -0.9818 |   |
 |  29 | 55321.031250000  | P P |     1.1542    4.1050    0.1467 |   |
 |  30 | 55321.031250000  | P P |     2.1336    2.7185   -4.4897 |   |
 |  31 | 55321.031250000  | P P |     3.3593   -0.2535   -3.9693 |   |
 |  32 | 55321.031250000  | P P |     2.0854   -3.0285   -4.1811 |   |
 |   1 | 55321.041666667  | P P |  -134.7368  -60.2546  -12.4215 |   |
 |   2 | 55321.041666667  | P P |    -3.3419    1.6123   -2.2900 |   |
 |   3 | 55321.041666667  | P P |     3.0711   -1.8709    3.6440 |   |
 |   4 | 55321.041666667  | P P |    -3.7821    1.2497   -3.1330 |   |
 |   5 | 55321.041666667  | P P |    -2.7550    1.4910    2.4642 |   |
 |   6 | 55321.041666667  | P P |     3.6900   -0.0432    4.2252 |   |
 |   7 | 55321.041666667  | P P |     0.1342   -3.0905    3.2963 |   |
 |   8 | 55321.041666667  | P P |    -3.7917    1.1705    3.6353 |   |
 |   9 | 55321.041666667  | P P |    -1.2862    4.6940   -3.9681 |   |
 |  10 | 55321.041666667  | P P |    -5.1098   -0.3949    0.6107 |   |
 |  11 | 55321.041666667  | P P |     2.2519   -5.6422   -1.7473 |   |
 |  12 | 55321.041666667  | P P |     0.4764    2.3092   -3.5340 |   |
 |  13 | 55321.041666667  | P P |    -1.6740   -5.6804    0.9504 |   |
 |  14 | 55321.041666667  | P P |     3.9533    2.0537   -4.2629 |   |
 |  15 | 55321.041666667  | P P |    -0.9405    2.8560    2.6357 |   |
 |  17 | 55321.041666667  | P P |    -2.0453   -2.0619   -3.0769 |   |
 |  18 | 55321.041666667  | P P |     3.6850    3.9457    2.6081 |   |
 |  19 | 55321.041666667  | P P |     2.1778   -3.0469    2.1204 |   |
 |  20 | 55321.041666667  | P P |     1.3228   -3.8329   -4.8583 |   |
 |  22 | 55321.041666667  | P P |     4.2695    1.4433    0.7542 |   |
 |  23 | 55321.041666667  | P P |    -0.0406   -4.2799   -0.1764 |   |
 |  24 | 55321.041666667  | P P |     2.8784    3.3673    3.8293 |   |
 |  26 | 55321.041666667  | P P |    -0.8454    5.0189    2.2947 |   |
 |  27 | 55321.041666667  | P P |    -3.1654    4.4041   -1.8047 |   |
 |  28 | 55321.041666667  | P P |    -5.2281   -1.9012   -0.4386 |   |
 |  29 | 55321.041666667  | P P |     1.0063    4.2679   -0.5746 |   |
 |  30 | 55321.041666667  | P P |     1.6365    2.5710   -4.9301 |   |
 |  31 | 55321.041666667  | P P |     2.8897    0.2708   -4.4524 |   |
 |  32 | 55321.041666667  | P P |     2.9680   -2.6523   -4.2512 |   |
 |   1 | 55321.052083333  | P P |  -134.7288  -61.5392    3.3207 |   |
 |   2 | 55321.052083333  | P P |    -3.1985    1.2647   -2.8420 |   |
 |   3 | 55321.052083333  | P P |     3.4071   -1.2575    3.8521 |   |
 |   4 | 55321.052083333  | P P |    -3.4604    0.7880   -3.5999 |   |
