 RESIDUALS IN EARTH-FIXED SYSTEM

 FILE 1: ${P}/b10121\ORB\brd15816.sp3                                           
 FILE 2: ${P}/b10121\ORB\igs15816.sp3                                           



 ---------------------------------------------------------------------
 | NUM |      NAME        | FLG |       RESIDUALS IN METERS      |   |
 ---------------------------------------------------------------------
 |     |                  |     |                                |   |
 |   1 | 55317.000000000  | P P |  -117.4171  -42.9110  -79.0269 |   |
 |   2 | 55317.000000000  | P P |    -2.4307    2.7630    1.9965 |   |
 |   3 | 55317.000000000  | P P |     1.5256   -4.8078    1.6755 |   |
 |   4 | 55317.000000000  | P P |    -4.8297    1.3389   -0.7218 |   |
 |   5 | 55317.000000000  | P P |    -1.9336    1.6191    3.7971 |   |
 |   6 | 55317.000000000  | P P |     2.3720   -5.1553    1.1776 |   |
 |   7 | 55317.000000000  | P P |    -3.4287   -1.3546    2.6394 |   |
 |   9 | 55317.000000000  | P P |     0.6014    3.3989   -5.0599 |   |
 |  10 | 55317.000000000  | P P |    -3.6530    1.0756    4.1640 |   |
 |  11 | 55317.000000000  | P P |    -1.3925   -3.4981   -4.0761 |   |
 |  12 | 55317.000000000  | P P |     1.5736    3.2169   -1.9698 |   |
 |  13 | 55317.000000000  | P P |    -1.6906   -3.8794    4.3673 |   |
 |  14 | 55317.000000000  | P P |     4.5146   -2.2832   -3.4001 |   |
 |  15 | 55317.000000000  | P P |     0.9461    4.5536   -1.7486 |   |
 |  16 | 55317.000000000  | P P |     3.0950   -2.4872    4.9664 |   |
 |  17 | 55317.000000000  | P P |    -1.6426   -0.4681   -3.3793 |   |
 |  18 | 55317.000000000  | P P |     4.6137    3.7736    0.5306 |   |
 |  19 | 55317.000000000  | P P |     2.9854   -3.5638    1.8375 |   |
 |  20 | 55317.000000000  | P P |    -4.1382   -4.8433    0.1102 |   |
 |  21 | 55317.000000000  | P P |     4.2065    1.8580    4.2151 |   |
 |  22 | 55317.000000000  | P P |     3.9570   -0.6146   -2.3575 |   |
 |  23 | 55317.000000000  | P P |    -0.4351   -3.4340    2.7511 |   |
 |  24 | 55317.000000000  | P P |     5.1512    0.9865    2.8097 |   |
 |  26 | 55317.000000000  | P P |     1.3102    4.3493   -2.7242 |   |
 |  27 | 55317.000000000  | P P |     3.7309    3.3254   -6.4671 |   |
 |  28 | 55317.000000000  | P P |    -4.1809   -3.7894   -1.0430 |   |
 |  29 | 55317.000000000  | P P |     1.4073    3.1895    2.7498 |   |
 |  30 | 55317.000000000  | P P |     3.5889    3.4568   -1.1374 |   |
 |  32 | 55317.000000000  | P P |    -0.2544   -4.6821   -1.8005 |   |
 |   1 | 55317.010416667  | P P |  -122.6056  -49.4076  -66.3270 |   |
 |   2 | 55317.010416667  | P P |    -2.8064    2.7118    1.4740 |   |
 |   3 | 55317.010416667  | P P |     1.7398   -4.4320    2.3214 |   |
 |   4 | 55317.010416667  | P P |    -4.7011    1.0605   -1.4536 |   |
 |   5 | 55317.010416667  | P P |    -2.4785    1.1078    3.7109 |   |
 |   6 | 55317.010416667  | P P |     2.4471   -4.9517    1.8217 |   |
 |   7 | 55317.010416667  | P P |    -2.9872   -1.4978    3.0095 |   |
