 RESIDUALS IN EARTH-FIXED SYSTEM

 FILE 1: ${P}/b10121\ORB\brd15826.sp3                                           
 FILE 2: ${P}/b10121\ORB\igs15826.sp3                                           



 ---------------------------------------------------------------------
 | NUM |      NAME        | FLG |       RESIDUALS IN METERS      |   |
 ---------------------------------------------------------------------
 |     |                  |     |                                |   |
 |   1 | 55324.000000000  | P P |  -126.2774  -48.4782  -60.0838 |   |
 |   2 | 55324.000000000  | P P |    -2.7397    2.7753   -0.0143 |   |
 |   3 | 55324.000000000  | P P |     3.0972   -2.8560    3.2134 |   |
 |   4 | 55324.000000000  | P P |    -4.5440    1.8119   -0.9059 |   |
 |   5 | 55324.000000000  | P P |    -0.6861    2.3489    3.3845 |   |
 |   6 | 55324.000000000  | P P |     3.2201   -2.9859    3.0332 |   |
 |   7 | 55324.000000000  | P P |    -2.5370   -1.4592    2.6086 |   |
 |   8 | 55324.000000000  | P P |    -5.9014    3.2600    0.1344 |   |
 |   9 | 55324.000000000  | P P |     2.0385    3.3558   -6.3941 |   |
 |  10 | 55324.000000000  | P P |    -3.2867    1.7804    3.9048 |   |
 |  11 | 55324.000000000  | P P |    -0.2905   -4.2592   -4.0852 |   |
 |  12 | 55324.000000000  | P P |     2.3881    3.2619   -2.1261 |   |
 |  13 | 55324.000000000  | P P |    -1.3937   -4.2956    3.3064 |   |
 |  14 | 55324.000000000  | P P |     2.9751    2.1871   -5.1956 |   |
 |  15 | 55324.000000000  | P P |     0.5860    4.4421   -0.1064 |   |
 |  18 | 55324.000000000  | P P |     4.0166    4.4425    1.8129 |   |
 |  19 | 55324.000000000  | P P |     1.1137   -4.2910   -0.2211 |   |
 |  20 | 55324.000000000  | P P |    -1.2921   -4.4458   -3.5469 |   |
 |  21 | 55324.000000000  | P P |     4.8018    2.0995    3.0836 |   |
 |  22 | 55324.000000000  | P P |     4.1561    2.0211   -0.4353 |   |
 |  23 | 55324.000000000  | P P |    -0.5205   -3.7080    1.9662 |   |
 |  24 | 55324.000000000  | P P |     3.4459    2.5175    4.8002 |   |
 |  26 | 55324.000000000  | P P |     0.5191    5.1276   -0.9939 |   |
 |  27 | 55324.000000000  | P P |    -1.9915    3.7978   -3.8561 |   |
 |  28 | 55324.000000000  | P P |    -4.8375   -2.2112   -0.9705 |   |
 |  29 | 55324.000000000  | P P |     2.6310    2.2266    3.1720 |   |
 |  30 | 55324.000000000  | P P |     4.0531    3.0997   -2.7220 |   |
 |  31 | 55324.000000000  | P P |     4.0131   -2.8951   -0.3784 |   |
 |  32 | 55324.000000000  | P P |     0.4631   -3.8929   -3.5152 |   |
 |   1 | 55324.010416667  | P P |  -130.3526  -52.9108  -45.8524 |   |
 |   2 | 55324.010416667  | P P |    -2.9368    2.5958   -0.6525 |   |
 |   3 | 55324.010416667  | P P |     3.2879   -2.1878    3.6195 |   |
 |   4 | 55324.010416667  | P P |    -4.4583    1.5249   -1.6165 |   |
 |   5 | 55324.010416667  | P P |    -1.1772    1.9802    3.3821 |   |
 |   6 | 55324.010416667  | P P |     3.2740   -2.4213    3.3896 |   |
 |   7 | 55324.010416667  | P P |    -2.0207   -1.8217    2.8415 |   |
