 RESIDUALS IN EARTH-FIXED SYSTEM

 FILE 1: ${P}/b10121\ORB\brd15830.sp3                                           
 FILE 2: ${P}/b10121\ORB\igs15830.sp3                                           



 ---------------------------------------------------------------------
 | NUM |      NAME        | FLG |       RESIDUALS IN METERS      |   |
 ---------------------------------------------------------------------
 |     |                  |     |                                |   |
 |   1 | 55325.000000000  | P P |  -127.4461  -50.3994  -56.8569 |   |
 |   2 | 55325.000000000  | P P |    -4.0309    1.1591   -1.2435 |   |
 |   3 | 55325.000000000  | P P |     2.8529   -3.4033    3.5154 |   |
 |   4 | 55325.000000000  | P P |    -4.7223    0.7130   -1.8753 |   |
 |   5 | 55325.000000000  | P P |    -1.2358    1.3704    3.4333 |   |
 |   6 | 55325.000000000  | P P |     2.9583   -4.5799    1.9639 |   |
 |   7 | 55325.000000000  | P P |    -1.7244   -2.7121    2.8532 |   |
 |   8 | 55325.000000000  | P P |    -6.2716    2.8067    0.2384 |   |
 |   9 | 55325.000000000  | P P |    -0.4913    2.9332   -4.9206 |   |
 |  10 | 55325.000000000  | P P |    -3.9854    0.0096    3.2464 |   |
 |  11 | 55325.000000000  | P P |     0.2291   -4.8857   -3.6905 |   |
 |  12 | 55325.000000000  | P P |     2.2403    2.9511   -1.9388 |   |
 |  13 | 55325.000000000  | P P |    -1.3182   -5.2014    2.7726 |   |
 |  14 | 55325.000000000  | P P |     3.1142    0.8228   -5.0391 |   |
 |  15 | 55325.000000000  | P P |     0.1308    3.9752   -0.1236 |   |
 |  16 | 55325.000000000  | P P |     3.9351   -2.0644    3.9719 |   |
 |  17 | 55325.000000000  | P P |    -2.5388   -1.8703   -3.0889 |   |
 |  18 | 55325.000000000  | P P |     4.5449    3.1076    0.7931 |   |
 |  19 | 55325.000000000  | P P |     0.8006   -4.7830   -0.5935 |   |
 |  20 | 55325.000000000  | P P |    -1.6294   -5.0712   -3.3671 |   |
 |  21 | 55325.000000000  | P P |     6.2643   -0.2552    2.4005 |   |
 |  23 | 55325.000000000  | P P |    -0.1218   -4.4667    0.6930 |   |
 |  24 | 55325.000000000  | P P |     4.5050    0.0633    2.8087 |   |
 |  26 | 55325.000000000  | P P |     1.3436    4.4918   -2.3498 |   |
 |  27 | 55325.000000000  | P P |    -0.0286    3.6004   -5.8111 |   |
 |  29 | 55325.000000000  | P P |     2.5838    1.8069    3.1228 |   |
 |  30 | 55325.000000000  | P P |     3.7026    2.4185   -2.9065 |   |
 |  31 | 55325.000000000  | P P |     3.6571   -4.3757    0.2866 |   |
 |  32 | 55325.000000000  | P P |    -0.7963   -4.8043   -3.1380 |   |
 |   1 | 55325.010416667  | P P |  -131.3623  -54.4551  -42.3687 |   |
 |   2 | 55325.010416667  | P P |    -4.0905    0.9124   -1.9677 |   |
 |   3 | 55325.010416667  | P P |     3.0093   -2.7447    3.8497 |   |
 |   4 | 55325.010416667  | P P |    -4.5681    0.3958   -2.5202 |   |
 |   5 | 55325.010416667  | P P |    -1.7672    1.0483    3.3148 |   |
 |   6 | 55325.010416667  | P P |     3.0592   -4.1315    2.4157 |   |
 |   7 | 55325.010416667  | P P |    -1.1239   -3.0388    2.9313 |   |
