 RESIDUALS IN EARTH-FIXED SYSTEM

 FILE 1: ${P}/b10121\ORB\brd15822.sp3                                           
 FILE 2: ${P}/b10121\ORB\igs15822.sp3                                           



 ---------------------------------------------------------------------
 | NUM |      NAME        | FLG |       RESIDUALS IN METERS      |   |
 ---------------------------------------------------------------------
 |     |                  |     |                                |   |
 |   1 | 55320.000000000  | P P |  -121.0350  -44.8025  -72.3718 |   |
 |   2 | 55320.000000000  | P P |    -3.4918    2.1999   -0.2813 |   |
 |   3 | 55320.000000000  | P P |     2.5582   -3.6707    2.7915 |   |
 |   4 | 55320.000000000  | P P |    -4.2598    3.1184    0.2358 |   |
 |   5 | 55320.000000000  | P P |     0.3789    2.5983    3.5688 |   |
 |   6 | 55320.000000000  | P P |     3.1150   -2.8370    2.8324 |   |
 |   7 | 55320.000000000  | P P |    -2.7453   -0.6502    3.0521 |   |
 |   8 | 55320.000000000  | P P |    -6.7307    3.0067    0.2030 |   |
 |   9 | 55320.000000000  | P P |     0.2848    3.4101   -4.5765 |   |
 |  10 | 55320.000000000  | P P |    -2.7614    1.9716    3.6344 |   |
 |  11 | 55320.000000000  | P P |    -0.0437   -4.1986   -3.9729 |   |
 |  12 | 55320.000000000  | P P |     2.8717    3.2464   -1.6381 |   |
 |  13 | 55320.000000000  | P P |    -1.6100   -4.0197    3.7396 |   |
 |  14 | 55320.000000000  | P P |     4.2863   -0.8174   -4.4594 |   |
 |  15 | 55320.000000000  | P P |     0.9353    4.5339   -0.4699 |   |
 |  16 | 55320.000000000  | P P |     4.7609   -1.1947    4.1009 |   |
 |  17 | 55320.000000000  | P P |    -1.9221    1.2013   -3.3122 |   |
 |  18 | 55320.000000000  | P P |     5.1449    3.3721    0.2933 |   |
 |  19 | 55320.000000000  | P P |     1.9611   -3.7521    0.7296 |   |
 |  20 | 55320.000000000  | P P |    -2.4503   -4.8122   -1.9448 |   |
 |  22 | 55320.000000000  | P P |     4.0647    1.5857   -1.4280 |   |
 |  24 | 55320.000000000  | P P |     5.1339    0.6244    2.4678 |   |
 |  26 | 55320.000000000  | P P |     0.4083    5.2152   -0.9201 |   |
 |  27 | 55320.000000000  | P P |    -2.1416    3.3601   -3.8296 |   |
 |  28 | 55320.000000000  | P P |    -4.5938   -1.6475   -2.0438 |   |
 |  29 | 55320.000000000  | P P |     3.1381    1.5782    3.6188 |   |
 |  30 | 55320.000000000  | P P |     3.8869    3.1444   -1.9481 |   |
 |  31 | 55320.000000000  | P P |     4.3051   -1.4565   -1.1200 |   |
 |  32 | 55320.000000000  | P P |    -0.3764   -4.1978   -2.7681 |   |
 |   1 | 55320.010416667  | P P |  -125.8195  -50.5171  -59.0105 |   |
 |   2 | 55320.010416667  | P P |    -3.6101    2.0328   -0.9594 |   |
 |   3 | 55320.010416667  | P P |     2.7692   -3.1031    3.2911 |   |
 |   4 | 55320.010416667  | P P |    -4.2691    2.8673   -0.5323 |   |
 |   5 | 55320.010416667  | P P |    -0.1880    2.1828    3.6067 |   |
 |   6 | 55320.010416667  | P P |     3.2116   -2.2857    3.2613 |   |
 |   7 | 55320.010416667  | P P |    -2.3680   -0.9489    3.4369 |   |
