 RESIDUALS IN EARTH-FIXED SYSTEM

 FILE 1: ${P}/b10121\ORB\brd15824.sp3                                           
 FILE 2: ${P}/b10121\ORB\igs15824.sp3                                           



 ---------------------------------------------------------------------
 | NUM |      NAME        | FLG |       RESIDUALS IN METERS      |   |
 ---------------------------------------------------------------------
 |     |                  |     |                                |   |
 |   1 | 55322.000000000  | P P |  -124.0314  -46.4966  -66.7894 |   |
 |   2 | 55322.000000000  | P P |    -3.0263    2.2064    0.6676 |   |
 |   3 | 55322.000000000  | P P |     2.9644   -3.1311    3.1083 |   |
 |   4 | 55322.000000000  | P P |    -4.4774    0.6325   -2.0507 |   |
 |   5 | 55322.000000000  | P P |    -1.3527    2.0177    3.0253 |   |
 |   6 | 55322.000000000  | P P |     3.0238   -2.3876    3.2567 |   |
 |   7 | 55322.000000000  | P P |    -2.2720   -1.6224    2.8382 |   |
 |   8 | 55322.000000000  | P P |    -5.8960    2.7683   -0.2056 |   |
 |   9 | 55322.000000000  | P P |    -0.5535    3.5217   -5.1405 |   |
 |  10 | 55322.000000000  | P P |    -3.2252    1.3452    3.3704 |   |
 |  11 | 55322.000000000  | P P |    -2.0780   -3.6983   -4.7998 |   |
 |  12 | 55322.000000000  | P P |     2.2283    2.8994   -2.1452 |   |
 |  13 | 55322.000000000  | P P |    -1.7544   -4.0634    3.6315 |   |
 |  14 | 55322.000000000  | P P |     3.8641   -0.7322   -4.7361 |   |
 |  15 | 55322.000000000  | P P |    -0.1699    4.0564   -0.0600 |   |
 |  16 | 55322.000000000  | P P |     4.1311   -1.5781    3.8989 |   |
 |  17 | 55322.000000000  | P P |    -1.6050   -2.7401   -3.6380 |   |
 |  18 | 55322.000000000  | P P |     4.6501    3.5198    0.1070 |   |
 |  19 | 55322.000000000  | P P |     0.9871   -4.3447   -0.4300 |   |
 |  20 | 55322.000000000  | P P |    -2.9293   -4.7174   -2.2241 |   |
 |  21 | 55322.000000000  | P P |     4.1304    1.6096    3.4661 |   |
 |  22 | 55322.000000000  | P P |     3.7787    2.9191   -0.0554 |   |
 |  23 | 55322.000000000  | P P |    -0.0042   -3.8873    1.4888 |   |
 |  24 | 55322.000000000  | P P |     4.6544    1.0772    2.2950 |   |
 |  26 | 55322.000000000  | P P |     0.3320    4.9420   -1.1762 |   |
 |  27 | 55322.000000000  | P P |    -2.2136    3.6782   -3.6736 |   |
 |  28 | 55322.000000000  | P P |    -4.7001   -1.7028   -2.8314 |   |
 |  29 | 55322.000000000  | P P |     1.7931    2.3361    2.8348 |   |
 |  30 | 55322.000000000  | P P |     4.7233    2.8422   -0.5141 |   |
 |  31 | 55322.000000000  | P P |     3.7530   -3.1436    0.2722 |   |
 |  32 | 55322.000000000  | P P |    -0.4024   -4.3883   -3.0929 |   |
 |   1 | 55322.010416667  | P P |  -128.5375  -51.5240  -52.9375 |   |
 |   2 | 55322.010416667  | P P |    -3.2845    2.0598    0.0745 |   |
 |   3 | 55322.010416667  | P P |     3.1483   -2.4878    3.5181 |   |
 |   4 | 55322.010416667  | P P |    -4.2866    0.2805   -2.7648 |   |
 |   5 | 55322.010416667  | P P |    -1.8568    1.6692    2.9392 |   |
