119.5121	22.5509	 2.9440	 0.092
119.5121	22.6856	 2.3120	 0.096
119.5121	22.8203	 1.8090	 0.100
119.5121	22.9551	-1.2540	 0.098
119.5121	23.0898	-3.1010	 0.098
119.5121	23.2246	-2.4400	 0.099
119.5121	23.3593	-2.4780	 0.096
119.6585	22.5509	 3.2770	 0.100
119.6585	22.6856	 1.7390	 0.098
119.6585	22.8203	 0.2090	 0.101
119.6585	22.9551	 0.8000	 0.097
119.6585	23.0898	-1.1730	 0.097
119.6585	23.2246	-4.4650	 0.096
119.6585	23.3593	-4.1720	 0.096
119.8048	22.5509	 0.3080	 0.100
119.8048	22.6856	 2.6040	 0.097
119.8048	22.8203	-0.2940	 0.102
119.8048	22.9551	-18.7240	 0.100
119.8048	23.0898	10.0740	 0.098
119.8048	23.2246	-3.9510	 0.099
119.8048	23.3593	-2.2900	 0.100
119.9512	22.5509	-0.7670	 0.098
119.9512	22.6856	-1.4040	 0.097
119.9512	22.8203	-1.1920	 0.103
119.9512	22.9551	-3.1470	 0.098
119.9512	23.0898	 0.2700	 0.098
119.9512	23.2246	-1.1460	 0.100
119.9512	23.3593	-0.5980	 0.093
120.0976	22.5509	 0.3720	 0.096
120.0976	22.6856	-1.6030	 0.094
120.0976	22.8203	-2.2210	 0.094
120.0976	22.9551	 5.1790	 0.098
120.0976	23.0898	-6.5720	 0.100
120.0976	23.2246	-0.5070	 0.101
120.0976	23.3593	 0.0200	 0.098
120.2440	22.5509	-3.6370	 0.095
120.2440	22.6856	-4.0520	 0.096
120.2440	22.8203	-3.3150	 0.093
120.2440	22.9551	 7.2200	 0.097
120.2440	23.0898	-4.6790	 0.095
120.2440	23.2246	 2.5100	 0.097
120.2440	23.3593	 2.0830	 0.096
120.3903	22.5509	-2.8920	 0.103
120.3903	22.6856	-2.0470	 0.096
120.3903	22.8203	-3.5060	 0.094
120.3903	22.9551	-1.7490	 0.097
120.3903	23.0898	 2.2730	 0.099
120.3903	23.2246	-0.7210	 0.098
120.3903	23.3593	 1.6810	 0.101
