    3.1034     2.3111     2.1429    68.0000    90.0000    31.0978    54.6965
    3.1034     2.3111     4.2857    68.0000    90.0000    31.0978    53.8308
    3.1034     2.3111     6.4286    68.0000    90.0000    31.0978    52.9650
    3.1034     2.3111     8.5714    68.0000    90.0000    31.0978    52.0992
    3.1034     2.3111    10.7143    68.0000    90.0000    31.0978    51.2335
    3.1034     2.3111    12.8571    68.0000    90.0000    31.0978    50.3677
    3.1034     2.3111    15.0000    68.0000    90.0000    31.0978    49.5019
    3.1034     2.3111     2.1429    68.0000    90.0000    34.2012    54.6965
    3.1034     2.3111     4.2857    68.0000    90.0000    34.2012    53.8308
    3.1034     2.3111     6.4286    68.0000    90.0000    34.2012    52.9650
    3.1034     2.3111     8.5714    68.0000    90.0000    34.2012    52.0992
    3.1034     2.3111    10.7143    68.0000    90.0000    34.2012    51.2335
    3.1034     2.3111    12.8571    68.0000    90.0000    34.2012    50.3677
    3.1034     2.3111    15.0000    68.0000    90.0000    34.2012    49.5019
    3.1034     2.3111     2.1429    68.0000    90.0000    37.3046    54.6965
    3.1034     2.3111     4.2857    68.0000    90.0000    37.3046    53.8308
    3.1034     2.3111     6.4286    68.0000    90.0000    37.3046    52.9650
    3.1034     2.3111     8.5714    68.0000    90.0000    37.3046    52.0992
    3.1034     2.3111    10.7143    68.0000    90.0000    37.3046    51.2335
    3.1034     2.3111    12.8571    68.0000    90.0000    37.3046    50.3677
    3.1034     2.3111    15.0000    68.0000    90.0000    37.3046    49.5019
    3.1034     2.3111     2.1429    68.0000    90.0000    40.4080    54.6965
    3.1034     2.3111     4.2857    68.0000    90.0000    40.4080    53.8308
    3.1034     2.3111     6.4286    68.0000    90.0000    40.4080    52.9650
    3.1034     2.3111     8.5714    68.0000    90.0000    40.4080    52.0992
    3.1034     2.3111    10.7143    68.0000    90.0000    40.4080    51.2335
    3.1034     2.3111    12.8571    68.0000    90.0000    40.4080    50.3677
    3.1034     2.3111    15.0000    68.0000    90.0000    40.4080    49.5019
    3.1034     2.3111     2.1429    68.0000    90.0000    43.5114    54.6965
    3.1034     2.3111     4.2857    68.0000    90.0000    43.5114    53.8308
    3.1034     2.3111     6.4286    68.0000    90.0000    43.5114    52.9650
    3.1034     2.3111     8.5714    68.0000    90.0000    43.5114    52.0992
    3.1034     2.3111    10.7143    68.0000    90.0000    43.5114    51.2335
    3.1034     2.3111    12.8571    68.0000    90.0000    43.5114    50.3677
    3.1034     2.3111    15.0000    68.0000    90.0000    43.5114    49.5019
    4.4745     2.3111     2.1429    68.0000    90.0000    47.3004    54.6965
    4.4745     2.3111     4.2857    68.0000    90.0000    47.3004    53.8308
    4.4745     2.3111     6.4286    68.0000    90.0000    47.3004    52.9650
    4.4745     2.3111     8.5714    68.0000    90.0000    47.3004    52.0992
    4.4745     2.3111    10.7143    68.0000    90.0000    47.3004    51.2335
    4.4745     2.3111    12.8571    68.0000    90.0000    47.3004    50.3677
    4.4745     2.3111    15.0000    68.0000    90.0000    47.3004    49.5019
    4.4745     2.3111     2.1429    68.0000    90.0000    51.7749    54.6965
    4.4745     2.3111     4.2857    68.0000    90.0000    51.7749    53.8308
    4.4745     2.3111     6.4286    68.0000    90.0000    51.7749    52.9650
    4.4745     2.3111     8.5714    68.0000    90.0000    51.7749    52.0992
    4.4745     2.3111    10.7143    68.0000    90.0000    51.7749    51.2335
    4.4745     2.3111    12.8571    68.0000    90.0000    51.7749    50.3677
    4.4745     2.3111    15.0000    68.0000    90.0000    51.7749    49.5019
    4.4745     2.3111     2.1429    68.0000    90.0000    56.2494    54.6965
    4.4745     2.3111     4.2857    68.0000    90.0000    56.2494    53.8308
    4.4745     2.3111     6.4286    68.0000    90.0000    56.2494    52.9650
    4.4745     2.3111     8.5714    68.0000    90.0000    56.2494    52.0992
    4.4745     2.3111    10.7143    68.0000    90.0000    56.2494    51.2335
    4.4745     2.3111    12.8571    68.0000    90.0000    56.2494    50.3677
    4.4745     2.3111    15.0000    68.0000    90.0000    56.2494    49.5019
    4.4745     2.3111     2.1429    68.0000    90.0000    60.7238    54.6965
    4.4745     2.3111     4.2857    68.0000    90.0000    60.7238    53.8308
    4.4745     2.3111     6.4286    68.0000    90.0000    60.7238    52.9650
    4.4745     2.3111     8.5714    68.0000    90.0000    60.7238    52.0992
    4.4745     2.3111    10.7143    68.0000    90.0000    60.7238    51.2335
    4.4745     2.3111    12.8571    68.0000    90.0000    60.7238    50.3677
    4.4745     2.3111    15.0000    68.0000    90.0000    60.7238    49.5019
    4.4745     2.3111     2.1429    68.0000    90.0000    65.1983    54.6965
    4.4745     2.3111     4.2857    68.0000    90.0000    65.1983    53.8308
    4.4745     2.3111     6.4286    68.0000    90.0000    65.1983    52.9650
    4.4745     2.3111     8.5714    68.0000    90.0000    65.1983    52.0992
    4.4745     2.3111    10.7143    68.0000    90.0000    65.1983    51.2335
    4.4745     2.3111    12.8571    68.0000    90.0000    65.1983    50.3677
    4.4745     2.3111    15.0000    68.0000    90.0000    65.1983    49.5019
    4.4745     2.3111     2.1429    68.0000    90.0000    69.6728    54.6965
    4.4745     2.3111     4.2857    68.0000    90.0000    69.6728    53.8308
    4.4745     2.3111     6.4286    68.0000    90.0000    69.6728    52.9650
    4.4745     2.3111     8.5714    68.0000    90.0000    69.6728    52.0992
    4.4745     2.3111    10.7143    68.0000    90.0000    69.6728    51.2335
    4.4745     2.3111    12.8571    68.0000    90.0000    69.6728    50.3677
    4.4745     2.3111    15.0000    68.0000    90.0000    69.6728    49.5019
