121.485314223 23.9666043110  -2.080 0.491
121.498314422 23.9590044672   3.941 1.156
121.518114699 23.9493047036  16.254 1.369
121.528514820 23.9460048266  20.737 1.442
121.536214954 23.9403049197  24.541 1.547
121.546015040 23.9392050342  25.646 1.562
121.546515090 23.9358050421  32.685 1.617
121.554815197 23.9324051406  42.329 1.663
121.563415290 23.9302052418  54.595 1.701
121.574015414 23.9268053670  85.294 1.751
121.584715486 23.9272054910 118.346 1.809
121.588715529 23.9262055380 163.631 1.826
121.593115597 23.9236055907   0.021 1.844
121.601115632 23.9253056825   5.031 2.401
121.597196624 23.9267055424 -45.513 1.861
