121.566193009 24.0058019744   50.862    4.685
121.597196624 23.9267055424  -52.039    4.490
121.588696781 23.9265051717  163.631    4.431
121.528496791 23.9463019565    7.397    4.743
121.601293499 23.9849041120  -77.634    4.449
121.574892905 24.0049023856   40.752    4.274
121.596393421 23.9880038087  -73.921    4.386
121.611992088 24.0082039415  120.906    4.213
121.602091865 24.0157032940   40.494    4.205
121.585301074 23.8455072645  -40.639    4.862
121.533799750 23.8880038118  162.218    6.839
121.512900241 23.8856029550  -11.350    4.613
121.491608813 23.7280063993  -41.635    4.719
121.460807918 23.7557042754  -26.952    4.724
121.438009584 23.7313039540  -37.491    4.831
121.404210921 23.7170028696   -6.137    4.772
