E072    2561432.582 271464.628
M002    2611076.745 169232.123
M007    2628245.990 226177.976
M036    2656667.912 262069.208
M048    2716810.759 233601.690
N004    2776561.760 336479.220
N022    2731975.257 279894.770
N028    2742242.127 243499.188
S049    2430279.931 226339.030
S058    2457486.934 217303.209
