year,city,rate
2020,雲林縣,32.62
2020,嘉義縣,29.76
2020,屏東縣,32.11
2020,臺東縣,29.41
2020,花蓮縣,40.66
2020,澎湖縣,35.73
2020,基隆市,43.25
2020,新竹市,58.03
2020,嘉義市,57.68
2020,金門縣,31.87
2020,連江縣,44.07
