year,city,area
2020,雲林縣,17.39
2020,嘉義縣,18.72
2020,屏東縣,18.37
2020,臺東縣,21.64
2020,花蓮縣,17.24
2020,澎湖縣,18.97
2020,基隆市,12.93
2020,新竹市,16.2
2020,嘉義市,19.02
2020,金門縣,22.23
2020,連江縣,21.73
