529866.000	22.9243911	120.2905424	45.614	0.002	-0.006	-0.004	0.01131	0.01131	0.02800	0.04677	0.04677	0.04677
529867.000	22.9243911	120.2905424	45.605	-0.001	-0.002	-0.019	0.01131	0.01131	0.02800	0.07794	0.07794	0.07794
529868.000	22.9243911	120.2905424	45.606	0.006	0.018	0.016	0.01131	0.01131	0.02800	0.06640	0.06640	0.06640
529869.000	22.9243911	120.2905424	45.605	0.002	0.001	-0.015	0.01131	0.01131	0.02800	0.07563	0.07563	0.07563
529870.000	22.9243911	120.2905424	45.607	0.006	-0.001	-0.012	0.01131	0.01131	0.02800	0.06928	0.06928	0.06928
529871.000	22.9243911	120.2905424	45.615	0.008	0.000	-0.001	0.01131	0.01131	0.02800	0.03406	0.03406	0.03406
529872.000	22.9243911	120.2905424	45.605	0.001	-0.005	0.022	0.01131	0.01131	0.02800	0.07910	0.07910	0.07910
529873.000	22.9243911	120.2905424	45.613	0.002	-0.003	-0.034	0.01131	0.01131	0.02900	0.08198	0.08198	0.08198
529874.000	22.9243911	120.2905424	45.614	0.001	-0.004	-0.003	0.01131	0.01131	0.02900	0.04099	0.04099	0.04099
529875.000	22.9243911	120.2905424	45.601	0.008	-0.002	-0.009	0.01131	0.01131	0.02900	0.06120	0.06120	0.06120
529876.000	22.9243911	120.2905424	45.600	0.005	0.004	-0.026	0.01131	0.01131	0.02800	0.08025	0.08025	0.08025
529877.000	22.9243911	120.2905424	45.604	0.000	0.000	-0.002	0.01061	0.01061	0.02700	0.03868	0.03868	0.03868
529878.000	22.9243911	120.2905424	45.607	0.004	0.001	0.007	0.01061	0.01061	0.02600	0.05600	0.05600	0.05600
529879.000	22.9243911	120.2905424	45.598	0.002	0.001	-0.020	0.01061	0.01061	0.02500	0.07621	0.07621	0.07621
529880.000	22.9243911	120.2905424	45.599	0.004	-0.003	-0.030	0.01061	0.01061	0.02500	0.08025	0.08025	0.08025
529881.000	22.9243911	120.2905424	45.592	0.005	-0.005	-0.021	0.01061	0.01061	0.02600	0.07679	0.07679	0.07679
529882.000	22.9243911	120.2905424	45.589	0.000	0.001	0.005	0.01061	0.01061	0.02700	0.05023	0.05023	0.05023
529883.000	22.9243911	120.2905424	45.584	0.006	-0.002	0.001	0.01131	0.01131	0.02800	0.03811	0.03811	0.03811
529884.000	22.9243911	120.2905424	45.585	-0.001	0.007	-0.021	0.01131	0.01131	0.02800	0.07621	0.07621	0.07621
529885.000	22.9243911	120.2905424	45.587	0.003	0.005	-0.027	0.01131	0.01131	0.02800	0.08083	0.08083	0.08083
529886.000	22.9243911	120.2905424	45.581	0.000	-0.003	-0.036	0.01131	0.01131	0.02900	0.07967	0.07967	0.07967
529887.000	22.9243911	120.2905424	45.586	0.002	-0.002	-0.090	0.01131	0.01131	0.02900	0.08372	0.08372	0.08372
529888.000	22.9243911	120.2905424	45.587	0.003	-0.005	-0.020	0.01131	0.01131	0.02900	0.07621	0.07621	0.07621
529889.000	22.9243911	120.2905424	45.587	0.002	-0.001	-0.002	0.01131	0.01131	0.03000	0.03695	0.03695	0.03695
529890.000	22.9243911	120.2905424	45.587	0.002	-0.007	0.010	0.01131	0.01131	0.03000	0.06351	0.06351	0.06351
529891.000	22.9243911	120.2905424	45.587	0.004	-0.003	0.012	0.01202	0.01202	0.03100	0.06870	0.06870	0.06870
529892.000	22.9243911	120.2905424	45.582	0.003	0.001	-0.017	0.01202	0.01202	0.03100	0.07679	0.07679	0.07679
529893.000	22.9243911	120.2905423	45.581	0.000	0.001	-0.025	0.01202	0.01202	0.03100	0.08256	0.08256	0.08256
529894.000	22.9243911	120.2905423	45.576	0.001	0.003	-0.010	0.01202	0.01202	0.03100	0.06928	0.06928	0.06928
529895.000	22.9243911	120.2905424	45.576	0.005	0.011	-0.033	0.01202	0.01202	0.03200	0.08545	0.08545	0.08545
529896.000	22.9243911	120.2905423	45.576	0.002	-0.001	-0.037	0.01202	0.01202	0.03200	0.08198	0.08198	0.08198
529897.000	22.9243911	120.2905423	45.561	0.005	-0.008	-0.034	0.01202	0.01202	0.03200	0.07679	0.07679	0.07679
529898.000	22.9243911	120.2905423	45.562	0.003	0.000	-0.021	0.01202	0.01202	0.03200	0.07563	0.07563	0.07563
529899.000	22.9243911	120.2905424	45.570	0.005	-0.004	-0.015	0.01202	0.01202	0.03300	0.06813	0.06813	0.06813
529900.000	22.9243911	120.2905423	45.563	0.003	0.001	0.005	0.01202	0.01202	0.03200	0.04965	0.04965	0.04965
529901.000	22.9243911	120.2905423	45.562	0.000	0.000	-0.047	0.01202	0.01202	0.03100	0.08314	0.08314	0.08314
529902.000	22.9243911	120.2905423	45.563	0.001	-0.003	-0.015	0.01202	0.01202	0.03100	0.07159	0.07159	0.07159
529903.000	22.9243911	120.2905423	45.573	0.008	-0.003	-0.075	0.01202	0.01202	0.03300	0.08372	0.08372	0.08372
529904.000	22.9243911	120.2905423	45.572	0.004	0.001	-0.059	0.01202	0.01202	0.03100	0.08429	0.08429	0.08429
529905.000	22.9243911	120.2905423	45.562	0.006	-0.009	-0.037	0.01202	0.01202	0.03100	0.08372	0.08372	0.08372
529906.000	22.9243911	120.2905423	45.565	0.002	-0.007	0.024	0.01202	0.01202	0.03100	0.07910	0.07910	0.07910
529907.000	22.9243911	120.2905424	45.570	-0.001	-0.001	0.114	0.01131	0.01131	0.03000	0.08603	0.08603	0.08603
529908.000	22.9243911	120.2905423	45.575	0.003	-0.001	0.031	0.01131	0.01131	0.02900	0.08487	0.08487	0.08487
