1.125944619998932e+05 	000000000000004 	1.600903046420000e+08 	4.370878000000000e+03 	-000000000000151 	000000000000042 
1.125944619998932e+05 	000000000000007 	1.640869774910000e+08 	-5.728357810000000e+04 	000000000003583 	000000000000026 
1.125944619998932e+05 	000000000000008 	1.592469027510000e+08 	-5.153610300000000e+04 	000000000001719 	000000000000046 
1.125944619998932e+05 	000000000000009 	1.612159802080000e+08 	-3.706715100000000e+04 	000000000001335 	000000000000037 
1.125944619998932e+05 	000000000000016 	1.607285222650000e+08 	2.871412700000000e+04 	-000000000000986 	000000000000040 
1.125944619998932e+05 	000000000000021 	1.622412924260000e+08 	-7.251922400000000e+04 	000000000004077 	000000000000038 
1.125944619998932e+05 	000000000000026 	1.622815785610000e+08 	2.321439000000000e+04 	-000000000001302 	000000000000034 
1.125944619998932e+05 	000000000000027 	1.590481878160000e+08 	1.587574700000000e+04 	-000000000000543 	000000000000040 
1.125944619998932e+05 	000000000000028 	1.638239809790000e+08 	4.064691710000000e+04 	-000000000002420 	000000000000025 
1.125944619998932e+05 	000000000000031 	1.616156569100000e+08 	4.914635700000000e+04 	-000000000001666 	000000000000041 
1.125954619998932e+05 	000000000000004 	1.600903329370000e+08 	4.523595000000000e+03 	-000000000000152 	000000000000043 
1.125954619998932e+05 	000000000000007 	1.640862932280000e+08 	-6.086872410000000e+04 	000000000003585 	000000000000026 
1.125954619998932e+05 	000000000000008 	1.592465756420000e+08 	-5.325502900000000e+04 	000000000001718 	000000000000045 
1.125954619998932e+05 	000000000000009 	1.612157264680000e+08 	-3.840147200000000e+04 	000000000001334 	000000000000037 
1.125954619998932e+05 	000000000000016 	1.607287097860000e+08 	2.970122400000000e+04 	-000000000000987 	000000000000039 
1.125954619998932e+05 	000000000000021 	1.622405158650000e+08 	-7.659629500000000e+04 	000000000004077 	000000000000038 
1.125954619998932e+05 	000000000000026 	1.622818282560000e+08 	2.451703600000000e+04 	-000000000001302 	000000000000034 
1.125954619998932e+05 	000000000000027 	1.590482899830000e+08 	1.641976600000000e+04 	-000000000000544 	000000000000040 
1.125954619998932e+05 	000000000000028 	1.638244502510000e+08 	4.306785710000000e+04 	-000000000002420 	000000000000025 
1.125954619998932e+05 	000000000000031 	1.616159727110000e+08 	5.081307700000000e+04 	-000000000001666 	000000000000041 
