121.620973458 24.0001118206  309.470   60.430
121.598872844 24.0183103086   48.400   48.680
121.596972898 24.0179102324  128.700   86.260
121.621571714 24.0320109740  -17.910   35.470
121.624573375 24.0005119746  373.040   62.640
121.598067479 24.1170075613  -21.570    9.640
121.605774182 23.9915113599   19.570   18.420
121.618271444 24.0380106581   34.530   36.910
121.601975510 23.9682118247 -264.230   67.750
121.565378617 23.9223114109   73.720   31.040
121.560878607 23.9239111614   58.820   31.480
121.557478584 23.9254109648   48.490   30.310
121.609274617 23.9824117697  188.420   55.190
121.601674491 23.9871112928 -128.280   32.760
121.603674495 23.9864114036    7.190   49.900
121.613773048 24.0099112220  303.440  111.390
121.610972981 24.0120110361  141.730   47.910
121.588575982 23.9637113350  -19.490   15.470
121.540377573 23.9495095206   77.610   82.810
121.558274703 23.9968090385   69.380   15.030
121.512879742 23.9181091287   16.320   12.160
121.611073017 24.0113110599   88.860    6.350
121.561778949 23.9173113838   58.490   30.330
121.557878929 23.9189111617   83.850   40.010
121.553578894 23.9209109104   40.780   28.280
121.625571891 24.0275112808  463.020   37.540
121.433886749 23.8133084221   -1.580   18.710
